date,description,amount,reference,account_code
2025-01-03,Sysco Foods Inc,312450,CHK-10041,AR-1001
2025-01-05,HCA Healthcare,528000,ACH-88821,AR-1002
2025-01-06,Publix Supply Chain,180200,ACH-77432,AR-1003
2025-01-08,Diesel fuel expense,-44230,ACH-55601,EXP-2001
2025-01-09,Payroll week 1,-187500,PAY-00101,EXP-3001
2025-01-10,Arctic Refrigeration,-18500,CHK-10042,EXP-4001
2025-01-12,Walgreens Distribution,95400,ACH-66712,AR-1004
2025-01-14,Fleet maintenance,-24100,CHK-10043,EXP-4002
2025-01-15,Payroll week 2,-187500,PAY-00102,EXP-3001
2025-01-16,Kroger Distribution,214800,ACH-99001,AR-1005
2025-01-18,Office supplies,-4200,CHK-10044,EXP-5001
2025-01-19,Legal fees,-8500,CHK-10045,EXP-6001
2025-01-20,Publix Supply Chain,45000,ACH-77433,AR-1003
2025-01-22,Payroll week 3,-187500,PAY-00103,EXP-3001
2025-01-24,Tennessee rent,-85000,ACH-11201,EXP-7001
2025-01-25,Georgia rent,-92000,ACH-11202,EXP-7002
2025-01-26,Whole Foods Market,128900,ACH-44301,AR-1006
2025-01-28,Payroll week 4,-187500,PAY-00104,EXP-3001
2025-01-30,Florida rent,-78000,ACH-11203,EXP-7003
2025-01-31,Carolina rent,-71000,ACH-11204,EXP-7004

